Charli XCX feat. Tommy Cash	Pop 2	no_match	
Charli Xcx	Charli	fetch_error	404 Client Error: Not Found for url: https://api.discogs.com/releases/14538915
Charlie Dark	Nigeria 70: The Definitive Story of 1970s Funky Lagos	no_match	
Charlie Stewart	Christmas Dreamers: Yuletide Country (1960-1972)	no_match	
Cheery	Musicians for a Free Palestine	no_match	
Chelsey Lee Trejo	Musicians for a Free Palestine	no_match	
Chief Checker	Nigeria 70: Lagos Jump - Original Heavyweight Afrobeat Highlife & Afro-Funk	no_match	
Chief Commander Ebenezer Obey & His International Brothers	Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos	no_match	
Chiemi Manabe	Pacific Breeze 3: Japanese City Pop, AOR & Boogie 1975-1986	no_match	
Chris Thompson and Richard Burton	Jeff Wayne's Musical Version of The War of the Worlds	no_match	
Christian Wolff	SYR 4: Goodbye 20th Century	no_match	
Christoph Spendel Group	Maybe I'm Dreaming	no_match	
Chu Kosaka	Pacific Breeze 3: Japanese City Pop, AOR & Boogie 1975-1986	no_match	
Circulation	Quattro III - Breaks	no_match	
Circulation	Quattro III - Soundscape	no_match	
Cix Bits	Stax Christmas	no_match	
Clairo	Like Someone I Know: A Celebration of Margo Guryan	no_match	
Clarity	TRANSA	no_match	
Claudine Chirac 	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Claudya aka Masaya	QuattroIII - Tempo	no_match	
Clete Stallbaumer	Maybe I'm Dreaming	no_match	
Cleveland Golden Echoes	Boddie Recording Company: Cleveland Ohio (Disc 3: Bounty Records)	no_match	
Clint Mansell	π - Music For The Motion Picture	no_match	
Cole Pulice	Strawberry Roan	no_match	
Cole Pulice & Hunter Schafer	TRANSA	no_match	
Coltrane, John	With The Red Garland Trio	no_match	
Common feat. Bilal	Like Water for Chocolate	no_match	
Common feat. Bilal & Jill Scott	Like Water for Chocolate	no_match	
Common feat. Bilal & MC Lyte	Like Water for Chocolate	no_match	
Common feat. Cee‐Lo	Like Water for Chocolate	no_match	
Common feat. D’Angelo	Like Water for Chocolate	no_match	
Common feat. Lonnie “Pops” Lynn	Like Water for Chocolate	no_match	
Common feat. Mos Def	Like Water for Chocolate	no_match	
Common feat. Rahzel, Roy Hargrove & Black Thought	Like Water for Chocolate	no_match	
Common feat. Slum Village	Like Water for Chocolate	no_match	
Common feat. Vinia Mojica, Roy Hargrove & Femi Kuti	Like Water for Chocolate	no_match	
Conjunto Rumbavana	Cuba: Music and Revolution - Culture Clash In Havana Cuba - Experiments in Latin Music 1975-85 Vol. 1	no_match	
Context Clues	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
Cornelius Cardew	SYR 4: Goodbye 20th Century	no_match	
Cotillion	 Personal Space: Electronic Soul 1974-1984	no_match	
Coulibaly Tidiane & Dafra Star	Bobo Yéyé: Belle Epoque in Upper Volta	no_match	
Creations Unlimited	Boddie Recording Company: Cleveland, Ohio (Disc 1: Soul Kitchen)	no_match	
Crustation	Moon Safari (25th Anniversary)	no_match	
Crystal	DJ-Kicks: Jessy Lanza	no_match	
Curtis Mayfield	Curtis [MFSL UDCD 781]	no_match	
Curved Light	Holodeck Vision One	no_match	
Czern	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
D'Angelo	Black Messiah	no_match	
D'Angelo	Brown Sugar [Disc 1]	no_match	
D'Angelo	Brown Sugar [Disc 2]	no_match	
D-Sire	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
D. Strange	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
DAC Crowell	Trace Elements Vol. 3	no_match	
DJ Dubplate	Soul Jazz Records presents BLACK RIOT: Early Jungle, Rave and Hardcore	no_match	
DJ Krome; Mr. Time	Soul Jazz Records presents BLACK RIOT: Early Jungle, Rave and Hardcore	no_match	
DJ SWISHA	DJ-Kicks: Jessy Lanza	no_match	
DJ Spookie	DJ-Kicks: Jessy Lanza	no_match	
DNA Presents	Quattro III - Breaks	no_match	
DNA presents	Quattro III - Soundscape	no_match	
DNA presents	QuattroIII - Tempo	no_match	
DRAWING FUTURE LIFE	Virtual Dreams II - Ambient Explorations In The House & Techno Age, Japan 1993-1999	no_match	
Dallas Acid	Holodeck Vision One	no_match	
Damak	"If You're Going to San Francisco..." Damak Live	no_match	
Damak	Tarseer Sessions	no_match	
Daniel Johnston	Don't Be Scared (1982)	no_match	
Daniel Johnston	Hi, How Are You (1983)	no_match	
Darlene Love	A Christmas Gift for You from Phil Spector	no_match	
Dave Brubeck Quartet	Time Out (2012 AP Hybrid SACD)	no_match	
David Essex and Richard Burton	Jeff Wayne's Musical Version of The War of the Worlds	no_match	
David Holmes	π - Music For The Motion Picture	no_match	
David Mcknight	Soul Jazz Records Presents Soul Of A Nation: Afro-Centric Visions in the Age of Black Power - Underground Jazz, Street Funk & The Roots of Rap 1968-79	no_match	
David Moufang	Virtual Dreams: Ambient Explorations In The House & Techno Age, 1993-1997	no_match	
