genre,album_count,top_neighbors
bubblegum,3,artist on cover:0.25; chillout:0.14; trap:0.10; pop rap:0.07; electropop:0.06
city pop,3,electro:0.02; experimental:0.00; electronic:0.00; pop:0.00
dancehall,3,afrobeats:0.25; rnb swing:0.25; hyperpop:0.09; east coast hip hop:0.09; pop rap:0.07
doom metal,3,sludge metal:0.29; hardcore:0.20; progressive metal:0.11; heavy metal:0.06; hardcore punk:0.06
drum n bass,3,drill and bass:0.33; drum and bass:0.22; jungle:0.12; breakbeat:0.10; idm:0.03
edm,3,club:0.67; electro house:0.50; hyperpop:0.20; bubblegum bass:0.17; electropop:0.12
electro house,3,club:0.67; edm:0.50; hyperpop:0.20; bubblegum bass:0.17; electropop:0.12
europop,3,disco:0.06; house:0.06; pop:0.01; electronic:0.00
freak folk,3,psychedelic folk:0.18; garage psych:0.09; ambient pop:0.07; garage punk:0.06; acoustic:0.05
funktronica,3,nu jazz:0.29; acid jazz:0.20; wonky:0.20; psychedelic soul:0.12; soul jazz:0.11
future funk,3,vaporwave:0.50; nu disco:0.43; funky house:0.25; dance:0.17; plunderphonics:0.17
glitch pop,3,wonky:0.20; dubstep:0.17; jungle:0.12; progressive electronic:0.09; synth funk:0.07
hardcore hip-hop,0,
holiday,3,christmas music:0.29; soul jazz:0.05; instrumental:0.02; contemporary jazz:0.02; classical:0.02
indie surf,3,jangle pop:0.16; bedroom pop:0.15; slacker rock:0.10; hypnagogic pop:0.09; psychedelic pop:0.06
merseybeat,3,beat music:0.60; am pop:0.50; artist on cover:0.25; britpop:0.20; rock and roll:0.14
midwest emo,3,emo:0.06; alternative and punk:0.06; math rock:0.06; post rock:0.02; art rock:0.01
minimal synth,3,minimal wave:0.25; hypnagogic pop:0.14; new wave:0.04; psychedelic:0.03; electronic:0.00
mod,3,psychedelic rock:0.02; garage rock:0.02; pop rock:0.01; punk:0.01; indie rock:0.00
stoner rock,3,alternative metal:0.50; progressive metal:0.25; garage rock revival:0.12; sludge metal:0.12; heavy metal:0.12
uk street soul,3,bedroom pop:0.15; hypnagogic pop:0.14; synth funk:0.07
vaporwave,3,future funk:0.50; nu disco:0.25; synthwave:0.17; plunderphonics:0.17; disco:0.10
wonky,3,funktronica:0.20; glitch pop:0.20; dubstep:0.17; synth funk:0.15; nu jazz:0.12
afro-cuban jazz,0,
afrobeats,2,hip house:0.25; dancehall:0.25; pop rap:0.08; house:0.03; jazz:0.00
alt rock,2,jazz fusion:0.07; jazz rock:0.06; progressive rock:0.06; progressive:0.06; krautrock:0.04
alternative/indie rock,0,
américain,2,modal jazz:0.14; cool jazz:0.07; free jazz:0.06; acoustic:0.05; hard bop:0.03
animal on cover,2,space rock revival:0.09; space rock:0.08; slacker rock:0.05; slowcore:0.03; shoegaze:0.01
artist on cover,2,am pop:0.25; bubblegum:0.25; merseybeat:0.25; beat music:0.17; chillout:0.17
avant-garde pop,0,
bass music,2,future jazz:0.10; deep house:0.06; house:0.03; electro:0.02; hip hop:0.01
bebop,2,bop:0.25; cool jazz:0.07; jazz:0.01
berlin school,5,krautrock:0.12; minimal:0.03; modern classical:0.03; leftfield:0.02; electro:0.02
big band,2,traditional pop:0.33; spiritual jazz:0.08; jazz fusion:0.07; soul jazz:0.05; fusion:0.04
bossanova,2,latin jazz:0.17; bossa nova:0.12; latin:0.07; baroque pop:0.05; psychedelic rock:0.01
breakcore,2,drill and bass:0.17; drum and bass:0.11; noise:0.03; idm:0.02; electronic:0.00
british folk rock,2,british blues:0.25; arena rock:0.17; jazz pop:0.10; chamber folk:0.10; heavy metal:0.06
cloud rap,2,trap:0.11; experimental hip hop:0.10; pop rap:0.08; alternative pop:0.04; new age:0.02
club,2,edm:0.67; electro house:0.67; hyperpop:0.22; bubblegum bass:0.20; electropop:0.12
contemporary pop/rock,0,
country pop,2,gospel:0.20; country:0.14; country rock:0.07; americana:0.07; blues:0.06
dark wave,2,industrial:0.14; punk rock:0.06; noise rock:0.02; electronic:0.00; rock:0.00
electronica dance,2,breaks:0.20; drill and bass:0.17; alternative:0.07; indie:0.06; abstract:0.03
emo pop,2,power pop:0.25; alternative rock:0.01; indie pop:0.00; indie rock:0.00; rock:0.00
emocore,2,emo:0.06; noise rock:0.03; post rock:0.01
english,0,
